timestamp,source_ip,destination_ip,protocol,status,action,username
2025-12-30 00:02:15,203.0.113.10,10.0.0.5,TCP,failed,blocked,admin
2025-12-30 00:05:20,203.0.113.10,10.0.0.5,TCP,failed,blocked,admin
2025-12-30 01:10:01,203.0.113.11,10.0.0.8,TCP,failed,blocked,admin
2025-12-30 01:11:12,203.0.113.11,10.0.0.8,TCP,failed,blocked,user1
2025-12-30 01:15:45,203.0.113.11,10.0.0.8,TCP,failed,blocked,user1
2025-12-30 03:00:10,198.51.100.20,10.0.0.10,ICMP,failed,blocked,N/A
2025-12-30 03:02:11,198.51.100.20,10.0.0.11,ICMP,failed,blocked,N/A
2025-12-30 03:04:12,198.51.100.20,10.0.0.12,ICMP,failed,blocked,N/A
2025-12-30 04:10:00,198.51.100.30,10.0.0.25,TCP,success,allowed,user2
2025-12-30 04:12:10,198.51.100.30,10.0.0.25,TCP,success,allowed,user2
2025-12-30 04:15:30,198.51.100.30,10.0.0.25,TCP,success,allowed,user2
2025-12-30 05:01:01,203.0.113.13,10.0.0.30,TCP,failed,blocked,N/A
2025-12-30 05:03:11,203.0.113.13,10.0.0.30,TCP,failed,blocked,N/A
2025-12-30 05:05:21,203.0.113.13,10.0.0.30,TCP,failed,blocked,N/A
2025-12-30 06:00:10,203.0.113.14,10.0.0.20,TCP,failed,blocked,administrator
2025-12-30 06:02:20,203.0.113.14,10.0.0.20,TCP,failed,blocked,administrator
2025-12-30 06:04:30,203.0.113.14,10.0.0.20,TCP,failed,blocked,administrator
2025-12-30 07:10:01,203.0.113.15,10.0.0.40,TCP,failed,blocked,N/A
2025-12-30 07:12:11,203.0.113.15,10.0.0.40,TCP,failed,blocked,N/A
2025-12-30 07:14:21,203.0.113.15,10.0.0.40,TCP,failed,blocked,N/A
2025-12-30 08:00:10,198.51.100.40,10.0.0.50,UDP,success,allowed,user3
2025-12-30 08:05:10,198.51.100.40,10.0.0.50,UDP,success,allowed,user3
2025-12-30 08:10:10,198.51.100.40,10.0.0.50,UDP,success,allowed,user3
2025-12-30 09:00:01,203.0.113.16,10.0.0.60,TCP,failed,blocked,N/A
2025-12-30 09:02:01,203.0.113.16,10.0.0.60,TCP,failed,blocked,N/A
2025-12-30 09:04:01,203.0.113.16,10.0.0.60,TCP,failed,blocked,N/A
2025-12-30 10:01:01,203.0.113.17,10.0.0.5,TCP,failed,blocked,root
2025-12-30 10:03:01,203.0.113.17,10.0.0.5,TCP,failed,blocked,root
2025-12-30 10:05:01,203.0.113.17,10.0.0.5,TCP,failed,blocked,admin
2025-12-30 11:00:01,198.51.100.50,10.0.0.80,TCP,success,allowed,user4
2025-12-30 11:05:01,198.51.100.50,10.0.0.80,TCP,success,allowed,user4
2025-12-30 11:10:01,198.51.100.50,10.0.0.80,TCP,success,allowed,user4
2025-12-30 12:01:01,203.0.113.18,10.0.0.70,TCP,failed,blocked,N/A
2025-12-30 12:02:01,203.0.113.18,10.0.0.70,TCP,failed,blocked,N/A
2025-12-30 12:03:01,203.0.113.18,10.0.0.70,TCP,failed,blocked,N/A
2025-12-30 13:01:01,203.0.113.19,10.0.0.90,ICMP,failed,blocked,N/A
2025-12-30 13:02:01,203.0.113.19,10.0.0.91,ICMP,failed,blocked,N/A
2025-12-30 13:03:01,203.0.113.19,10.0.0.92,ICMP,failed,blocked,N/A
2025-12-30 14:01:01,203.0.113.20,10.0.0.5,TCP,failed,blocked,admin
2025-12-30 14:02:01,203.0.113.20,10.0.0.5,TCP,failed,blocked,admin
2025-12-30 14:03:01,203.0.113.20,10.0.0.5,TCP,failed,blocked,root
2025-12-30 15:01:01,198.51.100.60,10.0.0.100,TCP,success,allowed,user5
2025-12-30 15:05:01,198.51.100.60,10.0.0.100,TCP,success,allowed,user5
2025-12-30 15:10:01,198.51.100.60,10.0.0.100,TCP,success,allowed,user5
2025-01-01 00:01:12,203.0.113.45,10.0.0.5,TCP,blocked,failed,admin
2025-01-01 00:01:18,203.0.113.45,10.0.0.5,TCP,blocked,failed,admin
2025-01-01 00:01:25,203.0.113.45,10.0.0.5,TCP,blocked,failed,admin
2025-01-01 00:02:01,203.0.113.45,10.0.0.5,TCP,blocked,failed,root
2025-01-01 00:02:10,203.0.113.45,10.0.0.5,TCP,blocked,failed,root
2025-01-01 00:05:33,198.51.100.23,10.0.0.20,TCP,blocked,failed,administrator
2025-01-01 00:05:40,198.51.100.23,10.0.0.20,TCP,blocked,failed,administrator
2025-01-01 00:05:47,198.51.100.23,10.0.0.20,TCP,blocked,failed,administrator
2025-01-01 00:05:51,198.51.100.23,10.0.0.20,TCP,blocked,failed,administrator
2025-01-01 00:05:57,198.51.100.23,10.0.0.20,TCP,blocked,failed,administrator
2025-01-01 00:06:07,198.51.100.23,10.0.0.20,TCP,blocked,failed,administrator
2025-01-01 00:06:13,198.51.100.23,10.0.0.20,TCP,blocked,failed,administrator
2025-01-01 00:06:20,198.51.100.23,10.0.0.20,TCP,blocked,failed,administrator
2025-01-01 00:06:27,198.51.100.23,10.0.0.20,TCP,blocked,failed,administrator
2025-01-01 01:12:10,192.168.10.50,10.0.0.10,ICMP,allowed,success,
2025-01-01 01:12:11,192.168.10.50,10.0.0.11,ICMP,allowed,success,
2025-01-01 01:12:12,192.168.10.50,10.0.0.12,ICMP,allowed,success,
2025-01-01 01:12:13,192.168.10.50,10.0.0.13,ICMP,allowed,success,
2025-01-01 02:45:00,172.16.5.99,10.0.0.80,UDP,blocked,failed,
2025-01-01 02:45:05,172.16.5.99,10.0.0.81,UDP,blocked,failed,
2025-01-01 02:45:10,172.16.5.99,10.0.0.82,UDP,blocked,failed,
2025-01-01 02:45:20,172.16.5.99,10.0.0.83,UDP,blocked,failed,
2025-01-01 02:45:25,172.16.5.99,10.0.0.84,UDP,blocked,failed,
2025-01-01 02:45:30,172.16.5.99,10.0.0.85,UDP,blocked,failed,
2025-01-01 09:15:10,10.1.1.10,10.0.0.5,TCP,allowed,success,john
2025-01-01 09:20:20,10.1.1.11,10.0.0.5,TCP,allowed,success,mary
2025-01-01 12:30:30,203.0.113.99,10.0.0.5,TCP,blocked,failed,admin
2025-01-01 12:30:35,203.0.113.99,10.0.0.5,TCP,blocked,failed,admin
2025-01-01 12:30:40,203.0.113.99,10.0.0.5,TCP,blocked,failed,admin
